iter	Passed	Remaining
0	0	29
1	0	25
2	0	22
3	0	20
4	1	19
5	1	19
6	1	19
7	1	18
8	1	18
9	1	17
10	2	17
11	2	17
12	2	17
13	2	17
14	2	16
15	3	16
16	3	16
17	3	16
18	3	16
19	3	15
20	4	18
21	5	18
22	5	17
23	5	17
24	5	17
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	15
32	7	15
33	7	14
34	7	14
35	8	14
36	8	14
37	8	14
38	9	14
39	9	14
40	9	13
41	9	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	8
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	20	5
80	20	4
81	20	4
82	20	4
83	20	3
84	21	3
85	21	3
86	21	3
87	21	2
88	22	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	23	0
97	24	0
98	24	0
99	24	0
