iter	Passed	Remaining
0	57	57545
1	57	28910
2	58	19370
3	58	14595
4	58	11732
5	59	9817
6	59	8440
7	59	7415
8	60	6619
9	60	5981
10	60	5460
11	61	5025
12	61	4654
13	61	4336
14	61	4066
15	62	3828
16	62	3615
17	62	3423
18	63	3253
19	63	3100
20	63	2963
21	63	2836
22	64	2723
23	64	2616
24	64	2518
25	64	2430
26	65	2350
27	65	2276
28	65	2205
29	66	2139
30	66	2077
31	66	2017
32	66	1963
33	67	1913
34	67	1865
35	67	1820
36	68	1776
37	68	1735
38	68	1695
39	69	1656
40	69	1621
41	69	1587
42	69	1556
43	70	1527
44	70	1499
45	70	1471
46	71	1444
47	71	1419
48	71	1393
49	72	1370
50	72	1347
51	72	1325
52	72	1303
53	73	1282
54	73	1263
55	73	1243
56	74	1225
57	74	1207
58	74	1190
59	75	1175
60	75	1160
61	75	1143
62	75	1129
63	76	1113
64	76	1100
65	76	1085
66	77	1073
67	77	1060
68	77	1047
69	77	1035
70	78	1023
71	78	1011
72	78	1000
73	79	989
74	79	979
75	79	969
76	79	958
77	80	947
78	80	938
79	80	929
80	81	920
81	81	912
82	81	901
83	81	892
84	82	883
85	82	876
86	82	868
87	83	860
88	83	852
89	83	845
90	83	838
91	84	831
92	84	824
93	84	817
94	85	810
95	85	804
96	85	797
97	85	791
98	86	784
99	86	779
100	86	772
101	87	767
102	87	761
103	87	755
104	87	749
105	88	744
106	88	738
107	88	733
108	89	727
109	89	722
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	692
116	91	687
117	91	683
118	91	679
119	92	675
120	92	671
121	92	666
122	92	662
123	93	657
124	93	653
125	93	649
126	93	645
127	94	641
128	94	636
129	94	633
130	94	629
131	95	626
132	95	622
133	95	619
134	96	616
135	96	612
136	96	609
137	97	606
138	97	602
139	97	599
140	97	595
141	97	591
142	98	588
143	98	585
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	100	559
153	101	556
154	101	553
155	101	550
156	102	547
157	102	545
158	102	542
159	102	539
160	103	537
161	103	534
162	103	531
163	103	529
164	104	527
165	104	524
166	104	522
167	105	520
168	105	518
169	105	515
170	105	513
171	106	511
172	106	509
173	106	507
174	107	504
175	107	502
176	107	500
177	107	498
178	108	496
179	108	494
180	108	492
181	109	490
182	109	488
183	109	486
184	110	484
185	110	483
186	110	481
187	111	479
188	111	477
189	111	475
190	111	473
191	112	471
192	112	470
193	112	468
194	112	466
195	113	464
196	113	462
197	113	460
198	113	458
199	114	456
200	114	454
201	114	453
202	115	451
203	115	449
204	115	448
205	115	446
206	116	445
207	116	443
208	116	442
209	117	440
210	117	439
211	117	437
212	118	436
213	118	434
214	118	433
215	118	431
216	119	429
217	119	428
218	119	426
219	119	424
220	120	423
221	120	421
222	120	420
223	120	418
224	121	417
225	121	416
226	121	414
227	122	413
228	122	412
229	122	410
230	123	409
231	123	408
232	123	407
233	124	406
234	124	404
235	124	403
236	124	402
237	125	400
238	125	399
239	125	398
240	126	397
241	126	395
242	126	394
243	126	393
244	127	392
245	127	390
246	127	389
247	128	388
248	128	386
249	128	385
250	128	384
251	129	383
252	129	382
253	129	380
254	129	379
255	130	378
256	130	377
257	130	376
258	131	375
259	131	374
260	131	373
261	132	372
262	132	370
263	132	369
264	132	368
265	133	367
266	133	366
267	133	364
268	133	363
269	134	362
270	134	361
271	134	360
272	135	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	137	352
280	137	351
281	137	350
282	137	349
283	138	348
284	138	347
285	138	346
286	139	345
287	139	344
288	139	343
289	140	343
290	140	342
291	140	341
292	141	340
293	141	339
294	141	338
295	141	337
296	142	336
297	142	335
298	142	334
299	143	333
300	143	332
301	143	332
302	143	331
303	144	330
304	144	329
305	144	328
306	145	327
307	145	326
308	145	325
309	146	324
310	146	324
311	146	323
312	146	322
313	147	321
314	147	320
315	147	319
316	147	318
317	148	318
318	148	317
319	148	316
320	149	315
321	149	314
322	149	313
323	150	313
324	150	312
325	150	311
326	150	310
327	151	309
328	151	308
329	151	307
330	152	307
331	152	306
332	152	305
333	152	305
334	153	304
335	153	303
336	153	302
337	154	302
338	154	301
339	154	300
340	155	299
341	155	299
342	155	298
343	155	297
344	156	296
345	156	295
346	156	295
347	157	294
348	157	293
349	157	292
350	158	292
351	158	291
352	158	290
353	158	289
354	159	289
355	159	288
356	159	287
357	159	286
358	160	286
359	160	285
360	160	284
361	161	283
362	161	283
363	161	282
364	161	281
365	162	281
366	162	280
367	163	279
368	163	279
369	163	278
370	163	278
371	164	277
372	164	276
373	164	275
374	165	275
375	165	274
376	165	273
377	165	272
378	166	272
379	166	271
380	166	270
381	166	270
382	167	269
383	167	268
384	167	267
385	168	267
386	168	266
387	168	265
388	168	265
389	169	264
390	169	263
391	169	263
392	169	262
393	170	261
394	170	261
395	170	260
396	171	259
397	171	259
398	171	258
399	172	258
400	172	257
401	172	256
402	172	255
403	173	255
404	173	254
405	173	254
406	173	253
407	174	252
408	174	252
409	174	251
410	175	250
411	175	250
412	175	249
413	175	248
414	176	248
415	176	247
416	176	247
417	177	246
418	177	246
419	177	245
420	178	244
421	178	244
422	178	243
423	179	243
424	179	242
425	179	242
426	180	241
427	180	240
428	180	240
429	180	239
430	181	239
431	181	238
432	181	237
433	181	237
434	182	236
435	182	235
436	182	235
437	182	234
438	183	233
439	183	233
440	183	232
441	183	232
442	184	231
443	184	230
444	184	230
445	184	229
446	185	229
447	185	228
448	185	227
449	185	227
450	186	226
451	186	225
452	186	225
453	187	224
454	187	224
455	187	223
456	187	223
457	188	222
458	188	221
459	188	221
460	188	220
461	189	220
462	189	219
463	189	219
464	190	218
465	190	218
466	190	217
467	191	217
468	191	216
469	192	216
470	192	216
471	192	215
472	193	215
473	193	214
474	193	214
475	193	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	211
481	195	210
482	196	210
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	199	204
493	199	204
494	199	203
495	200	203
496	200	202
497	200	202
498	200	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	204	196
509	204	196
510	204	195
511	205	195
512	205	194
513	205	194
514	206	194
515	206	193
516	206	193
517	207	192
518	207	192
519	207	191
520	207	191
521	208	190
522	208	190
523	208	189
524	209	189
525	209	188
526	209	188
527	209	187
528	210	186
529	210	186
530	210	185
531	210	185
532	211	184
533	211	184
534	211	183
535	211	183
536	212	182
537	212	182
538	212	181
539	212	181
540	212	180
541	213	180
542	213	179
543	213	179
544	213	178
545	214	178
546	214	177
547	214	177
548	214	176
549	215	176
550	215	175
551	215	174
552	215	174
553	216	173
554	216	173
555	216	172
556	216	172
557	217	171
558	217	171
559	217	170
560	217	170
561	217	169
562	218	169
563	218	168
564	218	168
565	218	167
566	219	167
567	219	166
568	219	166
569	219	165
570	219	165
571	220	164
572	220	164
573	220	163
574	220	163
575	220	162
576	221	162
577	221	161
578	221	161
579	221	160
580	221	160
581	222	159
582	222	159
583	222	158
584	222	158
585	223	157
586	223	157
587	223	156
588	223	156
589	223	155
590	224	155
591	224	154
592	224	154
593	224	153
594	225	153
595	225	152
596	225	152
597	225	151
598	225	151
599	226	150
600	226	150
601	226	149
602	226	149
603	227	148
604	227	148
605	227	147
606	227	147
607	228	147
608	228	146
609	228	146
610	228	145
611	229	145
612	229	144
613	229	144
614	229	143
615	229	143
616	230	142
617	230	142
618	230	141
619	230	141
620	231	140
621	231	140
622	231	140
623	231	139
624	231	139
625	232	138
626	232	138
627	232	137
628	232	137
629	232	136
630	233	136
631	233	135
632	233	135
633	233	135
634	234	134
635	234	134
636	234	133
637	234	133
638	235	132
639	235	132
640	235	131
641	235	131
642	235	131
643	236	130
644	236	130
645	236	129
646	236	129
647	237	128
648	237	128
649	237	127
650	237	127
651	237	126
652	238	126
653	238	126
654	238	125
655	238	125
656	238	124
657	239	124
658	239	123
659	239	123
660	239	122
661	239	122
662	240	122
663	240	121
664	240	121
665	240	120
666	241	120
667	241	119
668	241	119
669	241	119
670	242	118
671	242	118
672	242	117
673	242	117
674	242	116
675	243	116
676	243	116
677	243	115
678	243	115
679	244	114
680	244	114
681	244	113
682	244	113
683	244	113
684	245	112
685	245	112
686	245	111
687	245	111
688	246	111
689	246	110
690	246	110
691	246	109
692	246	109
693	247	108
694	247	108
695	247	108
696	247	107
697	248	107
698	248	106
699	248	106
700	248	106
701	249	105
702	249	105
703	249	104
704	249	104
705	249	104
706	250	103
707	250	103
708	250	102
709	250	102
710	250	102
711	251	101
712	251	101
713	251	100
714	251	100
715	252	99
716	252	99
717	252	99
718	252	98
719	252	98
720	253	97
721	253	97
722	253	97
723	253	96
724	253	96
725	254	95
726	254	95
727	254	95
728	254	94
729	254	94
730	255	93
731	255	93
732	255	93
733	255	92
734	256	92
735	256	91
736	256	91
737	256	91
738	257	90
739	257	90
740	257	89
741	257	89
742	257	89
743	258	88
744	258	88
745	258	88
746	258	87
747	258	87
748	259	86
749	259	86
750	259	86
751	259	85
752	260	85
753	260	84
754	260	84
755	260	84
756	260	83
757	261	83
758	261	82
759	261	82
760	261	82
761	261	81
762	262	81
763	262	81
764	262	80
765	262	80
766	263	79
767	263	79
768	263	79
769	263	78
770	263	78
771	264	78
772	264	77
773	264	77
774	264	76
775	264	76
776	265	76
777	265	75
778	265	75
779	265	74
780	266	74
781	266	74
782	266	73
783	266	73
784	267	73
785	267	72
786	267	72
787	267	72
788	267	71
789	268	71
790	268	70
791	268	70
792	268	70
793	268	69
794	269	69
795	269	69
796	269	68
797	269	68
798	270	67
799	270	67
800	270	67
801	270	66
802	270	66
803	271	66
804	271	65
805	271	65
806	271	65
807	272	64
808	272	64
809	272	63
810	272	63
811	273	63
812	273	62
813	273	62
814	273	62
815	273	61
816	274	61
817	274	61
818	274	60
819	274	60
820	275	59
821	275	59
822	275	59
823	275	58
824	276	58
825	276	58
826	276	57
827	276	57
828	276	57
829	277	56
830	277	56
831	277	56
832	277	55
833	277	55
834	278	54
835	278	54
836	278	54
837	278	53
838	279	53
839	279	53
840	279	52
841	279	52
842	279	52
843	280	51
844	280	51
845	280	51
846	280	50
847	281	50
848	281	50
849	281	49
850	281	49
851	281	48
852	282	48
853	282	48
854	282	47
855	282	47
856	283	47
857	283	46
858	283	46
859	283	46
860	283	45
861	284	45
862	284	45
863	284	44
864	284	44
865	285	44
866	285	43
867	285	43
868	285	43
869	285	42
870	286	42
871	286	42
872	286	41
873	286	41
874	287	41
875	287	40
876	287	40
877	287	39
878	287	39
879	288	39
880	288	38
881	288	38
882	288	38
883	289	37
884	289	37
885	289	37
886	289	36
887	289	36
888	290	36
889	290	35
890	290	35
891	290	35
892	291	34
893	291	34
894	291	34
895	291	33
896	292	33
897	292	33
898	292	32
899	292	32
900	292	32
901	293	31
902	293	31
903	293	31
904	293	30
905	294	30
906	294	30
907	294	29
908	294	29
909	295	29
910	295	28
911	295	28
912	295	28
913	295	27
914	296	27
915	296	27
916	296	26
917	296	26
918	297	26
919	297	25
920	297	25
921	297	25
922	297	24
923	298	24
924	298	24
925	298	23
926	298	23
927	299	23
928	299	22
929	299	22
930	299	22
931	299	21
932	300	21
933	300	21
934	300	20
935	300	20
936	300	20
937	301	19
938	301	19
939	301	19
940	301	18
941	302	18
942	302	18
943	302	17
944	302	17
945	302	17
946	303	16
947	303	16
948	303	16
949	303	15
950	304	15
951	304	15
952	304	15
953	304	14
954	304	14
955	305	14
956	305	13
957	305	13
958	305	13
959	305	12
960	306	12
961	306	12
962	306	11
963	306	11
964	307	11
965	307	10
966	307	10
967	307	10
968	307	9
969	308	9
970	308	9
971	308	8
972	308	8
973	309	8
974	309	7
975	309	7
976	309	7
977	309	6
978	310	6
979	310	6
980	310	6
981	310	5
982	311	5
983	311	5
984	311	4
985	311	4
986	312	4
987	312	3
988	312	3
989	312	3
990	312	2
991	313	2
992	313	2
993	313	1
994	313	1
995	314	1
996	314	0
997	314	0
998	314	0
999	315	0
